timestamp,download_mbps,upload_mbps,ping_ms,server_name,server_location,isp
2026-03-07T15:41:58.477603,199.95,55.87,26.12,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T15:57:01.874656,202.82,49.41,24.32,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T16:12:07.821523,323.55,51.45,25.02,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T16:27:09.698732,245.19,56.02,24.4,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T16:42:13.831934,320.86,51.59,24.59,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T16:57:15.289652,387.02,49.93,30.28,Scatter Creek InfoNet,"Tenino, WA, United States",Wave Broadband
2026-03-07T17:12:18.817678,312.2,51.91,23.95,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T17:27:26.607468,284.03,49.88,25.02,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T17:42:33.508523,307.11,50.33,26.01,Comcast,"Portland, OR, United States",Wave Broadband
2026-03-07T17:57:40.319535,355.96,51.94,26.31,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T18:12:46.953606,440.29,51.74,18.45,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T18:27:53.082011,445.06,23.68,18.64,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T18:42:58.217141,386.1,55.85,18.83,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T18:58:00.690882,151.23,41.4,21.93,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T19:13:06.250806,382.5,50.94,19.57,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T19:28:20.080028,338.04,49.56,21.54,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T19:43:21.588252,322.33,50.57,20.57,Astound Broadband,"Port Orchard, WA, United States",Wave Broadband
2026-03-07T19:58:17.716972,468.52,54.46,21.46,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T20:13:27.477947,376.0,51.18,19.94,Astound Broadband,"Port Orchard, WA, United States",Wave Broadband
2026-03-07T20:28:36.362662,298.74,55.76,19.42,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T20:43:38.743043,452.64,55.98,21.08,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T20:58:38.793535,451.78,50.31,18.61,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T21:13:48.662827,314.68,43.52,22.05,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T21:28:56.839341,220.01,54.46,22.6,fdcservers.net,"Seattle, WA, United States",Wave Broadband
2026-03-07T21:44:02.269340,229.98,50.2,20.49,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T21:59:12.240116,343.71,47.86,19.77,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T22:14:12.643189,327.36,52.4,21.18,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T22:29:14.383340,414.5,51.82,19.48,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T22:44:22.457837,344.93,51.19,18.84,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T22:59:29.575491,465.2,50.08,19.12,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T23:14:31.322455,417.82,50.96,19.63,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T23:29:37.546061,239.32,53.81,21.87,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-07T23:44:43.032559,358.85,50.89,18.09,Ziply Fiber,"Seattle, WA, United States",Wave Broadband
2026-03-07T23:59:55.103235,448.16,49.52,21.56,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T00:14:52.530837,411.71,51.72,19.42,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T00:29:54.735275,317.31,46.87,19.68,GigabitNow,"Seattle, WA, United States",Wave Broadband
2026-03-08T00:44:55.248191,279.22,55.57,19.44,GigabitNow,"Seattle, WA, United States",Wave Broadband
