timestamp,target,latency_ms,success
2026-03-06T12:01:43.160054,8.8.8.8,16.0,True
2026-03-06T12:01:43.160054,1.1.1.1,18.4,True
2026-03-06T12:02:43.447585,8.8.8.8,17.7,True
2026-03-06T12:02:43.447585,1.1.1.1,18.7,True
2026-03-06T12:03:43.757625,8.8.8.8,14.6,True
2026-03-06T12:03:43.757625,1.1.1.1,18.8,True
2026-03-06T12:04:44.049691,8.8.8.8,19.8,True
2026-03-06T12:04:44.049691,1.1.1.1,17.9,True
2026-03-06T12:05:44.331412,8.8.8.8,16.3,True
2026-03-06T12:05:44.331412,1.1.1.1,16.2,True
2026-03-06T12:06:44.655546,8.8.8.8,17.3,True
2026-03-06T12:06:44.655546,1.1.1.1,16.6,True
2026-03-06T12:07:44.958720,8.8.8.8,17.3,True
2026-03-06T12:07:44.958720,1.1.1.1,15.6,True
2026-03-06T12:08:45.264816,8.8.8.8,17.8,True
2026-03-06T12:08:45.264816,1.1.1.1,17.5,True
2026-03-06T12:09:45.565154,8.8.8.8,18.8,True
2026-03-06T12:09:45.565154,1.1.1.1,22.1,True
2026-03-06T12:10:45.576082,8.8.8.8,17.0,True
2026-03-06T12:10:45.576082,1.1.1.1,,False
2026-03-06T12:11:46.196092,8.8.8.8,19.4,True
2026-03-06T12:11:46.196092,1.1.1.1,16.9,True
2026-03-06T12:12:46.502269,8.8.8.8,16.8,True
2026-03-06T12:12:46.502269,1.1.1.1,18.9,True
2026-03-06T12:13:46.804646,8.8.8.8,17.6,True
2026-03-06T12:13:46.804646,1.1.1.1,15.3,True
2026-03-06T12:14:47.116509,8.8.8.8,20.6,True
2026-03-06T12:14:47.116509,1.1.1.1,16.7,True
2026-03-06T12:15:47.419050,8.8.8.8,16.4,True
2026-03-06T12:15:47.419050,1.1.1.1,18.7,True
2026-03-06T12:16:47.733665,8.8.8.8,14.7,True
2026-03-06T12:16:47.733665,1.1.1.1,23.5,True
2026-03-06T12:17:48.070751,8.8.8.8,19.4,True
2026-03-06T12:17:48.070751,1.1.1.1,17.6,True
2026-03-06T12:18:48.349559,8.8.8.8,16.7,True
2026-03-06T12:18:48.349559,1.1.1.1,18.8,True
2026-03-06T12:19:48.688698,8.8.8.8,16.2,True
2026-03-06T12:19:48.688698,1.1.1.1,16.2,True
2026-03-06T12:20:48.988360,8.8.8.8,17.6,True
2026-03-06T12:20:48.988360,1.1.1.1,20.3,True
2026-03-06T12:21:49.302027,8.8.8.8,14.6,True
2026-03-06T12:21:49.302027,1.1.1.1,16.9,True
2026-03-06T12:22:49.504307,8.8.8.8,14.8,True
2026-03-06T12:22:49.504307,1.1.1.1,9.68,True
2026-03-06T12:23:49.895613,8.8.8.8,19.2,True
2026-03-06T12:23:49.895613,1.1.1.1,15.9,True
2026-03-06T12:24:50.215995,8.8.8.8,16.2,True
2026-03-06T12:24:50.215995,1.1.1.1,19.9,True
2026-03-06T12:25:50.542748,8.8.8.8,16.1,True
2026-03-06T12:25:50.542748,1.1.1.1,23.9,True
2026-03-06T12:26:50.826924,8.8.8.8,21.3,True
2026-03-06T12:26:50.826924,1.1.1.1,16.2,True
2026-03-06T12:27:51.167626,8.8.8.8,19.2,True
2026-03-06T12:27:51.167626,1.1.1.1,17.8,True
2026-03-06T12:28:51.451927,8.8.8.8,16.8,True
2026-03-06T12:28:51.451927,1.1.1.1,20.1,True
2026-03-06T12:29:51.793392,8.8.8.8,14.7,True
2026-03-06T12:29:51.793392,1.1.1.1,14.6,True
2026-03-06T12:30:52.166590,8.8.8.8,17.7,True
2026-03-06T12:30:52.166590,1.1.1.1,15.3,True
2026-03-06T12:31:52.454687,8.8.8.8,18.6,True
2026-03-06T12:31:52.454687,1.1.1.1,16.1,True
2026-03-06T12:32:52.783986,8.8.8.8,17.9,True
2026-03-06T12:32:52.783986,1.1.1.1,16.5,True
2026-03-06T12:33:53.113154,8.8.8.8,19.7,True
2026-03-06T12:33:53.113154,1.1.1.1,14.3,True
2026-03-06T12:34:53.405018,8.8.8.8,14.5,True
2026-03-06T12:34:53.405018,1.1.1.1,15.8,True
2026-03-06T12:35:53.744735,8.8.8.8,15.2,True
2026-03-06T12:35:53.744735,1.1.1.1,11.8,True
2026-03-06T12:36:54.041929,8.8.8.8,18.7,True
2026-03-06T12:36:54.041929,1.1.1.1,17.4,True
2026-03-06T12:37:54.329899,8.8.8.8,17.9,True
2026-03-06T12:37:54.329899,1.1.1.1,14.1,True
2026-03-06T12:38:54.617447,8.8.8.8,15.1,True
2026-03-06T12:38:54.617447,1.1.1.1,18.1,True
2026-03-06T12:39:54.914883,8.8.8.8,9.78,True
2026-03-06T12:39:54.914883,1.1.1.1,19.6,True
2026-03-06T12:40:55.233724,8.8.8.8,17.1,True
2026-03-06T12:40:55.233724,1.1.1.1,17.0,True
2026-03-06T12:41:55.319296,8.8.8.8,15.4,True
2026-03-06T12:41:55.319296,1.1.1.1,15.6,True
2026-03-06T12:43:00.881535,8.8.8.8,17.7,True
2026-03-06T12:43:00.881535,1.1.1.1,19.1,True
2026-03-06T12:44:01.187586,8.8.8.8,17.5,True
2026-03-06T12:44:01.187586,1.1.1.1,16.3,True
2026-03-06T12:45:01.501561,8.8.8.8,16.6,True
2026-03-06T12:45:01.501561,1.1.1.1,18.3,True
2026-03-06T12:46:01.835020,8.8.8.8,17.8,True
2026-03-06T12:46:01.835020,1.1.1.1,18.4,True
